	Date	Close	Ticker	Setor
0	2020-01-02	58.79999923706055	AZUL4	Bens Industriais
1	2020-01-03	56.7599983215332	AZUL4	Bens Industriais
2	2020-01-06	55.0	AZUL4	Bens Industriais
3	2020-01-07	56.81999969482422	AZUL4	Bens Industriais
4	2020-01-08	56.91999816894531	AZUL4	Bens Industriais
5	2020-01-09	57.279998779296875	AZUL4	Bens Industriais
6	2020-01-10	57.5	AZUL4	Bens Industriais
7	2020-01-13	58.29999923706055	AZUL4	Bens Industriais
8	2020-01-14	59.189998626708984	AZUL4	Bens Industriais
9	2020-01-15	59.29999923706055	AZUL4	Bens Industriais
10	2020-01-16	59.439998626708984	AZUL4	Bens Industriais
11	2020-01-17	61.349998474121094	AZUL4	Bens Industriais
12	2020-01-20	61.77000045776367	AZUL4	Bens Industriais
13	2020-01-21	60.04999923706055	AZUL4	Bens Industriais
14	2020-01-22	59.599998474121094	AZUL4	Bens Industriais
15	2020-01-23	61.20000076293945	AZUL4	Bens Industriais
16	2020-01-24	59.459999084472656	AZUL4	Bens Industriais
17	2020-01-27	57.47999954223633	AZUL4	Bens Industriais
18	2020-01-28	62.40999984741211	AZUL4	Bens Industriais
19	2020-01-29	59.869998931884766	AZUL4	Bens Industriais
20	2020-01-30	59.709999084472656	AZUL4	Bens Industriais
21	2020-01-31	59.2599983215332	AZUL4	Bens Industriais
22	2020-02-03	60.130001068115234	AZUL4	Bens Industriais
23	2020-02-04	60.79999923706055	AZUL4	Bens Industriais
24	2020-02-05	61.27000045776367	AZUL4	Bens Industriais
25	2020-02-06	59.06999969482422	AZUL4	Bens Industriais
26	2020-02-07	56.290000915527344	AZUL4	Bens Industriais
27	2020-02-10	56.81999969482422	AZUL4	Bens Industriais
28	2020-02-11	58.34000015258789	AZUL4	Bens Industriais
29	2020-02-12	59.65999984741211	AZUL4	Bens Industriais
30	2020-02-13	59.0	AZUL4	Bens Industriais
31	2020-02-14	59.2400016784668	AZUL4	Bens Industriais
32	2020-02-17	58.70000076293945	AZUL4	Bens Industriais
33	2020-02-18	58.02000045776367	AZUL4	Bens Industriais
34	2020-02-19	58.08000183105469	AZUL4	Bens Industriais
35	2020-02-20	56.400001525878906	AZUL4	Bens Industriais
36	2020-02-21	55.650001525878906	AZUL4	Bens Industriais
37	2020-02-27	45.130001068115234	AZUL4	Bens Industriais
38	2020-02-28	44.439998626708984	AZUL4	Bens Industriais
39	2020-03-02	45.189998626708984	AZUL4	Bens Industriais
40	2020-03-03	44.0	AZUL4	Bens Industriais
41	2020-03-04	44.75	AZUL4	Bens Industriais
42	2020-03-05	38.25	AZUL4	Bens Industriais
